Cust ID,Trans ID,Timestamp,Merchant Segment, Device ,Funding Instrument,Price,ZipCode,Account_age_months,Sum_12_mnth_credit_txn,Sum_12_mnth_debit_txn,Pcnt_debit_cards_in_wallet,Num_premium_cards,Eng_segment
17342,9CFCABC8,2021-04-25 03:32:54,Travel, Mobile ,Debit_Card,1903,82620,5,1349,18204,55,3,Medium
17343,B2AAC9F8,2021-04-01 11:50:54,Website-services, Web ,Wallet,943,86210,8,3892,10596,66,1,Potential_Leavers
17344,139CD6AA,2021-03-21 16:14:26,Others, Web ,EasyPay_Cobrand_Card,1801,58983,23,10631,3047,22,8,High
17345,27EE852B,2021-04-06 09:58:38,Travel, Web ,Debit_Card,3119,56016,20,1250,11562,82,1,Low
17346,07BF6C5F,2021-05-26 16:40:42,Travel, Mobile ,EasyPay_Credit_Card,1540,58198,59,27319,4290,17,4,Medium
17347,CD17A23A,2021-03-16 19:19:20,Fashion, Mobile ,EasyPay_Pay_Later,157,84609,5,502,14610,78,1,Potential_Leavers
17348,5076148F,2021-03-02 03:44:47,Electronics, Web ,Netbanking,1083,68772,15,4858,10705,55,2,Low
17349,F171E07E,2021-05-08 06:49:53,Travel, Web ,EasyPay_Credit_Card,4230,15309,48,13623,1971,14,5,High
17350,3E06D8B6,2021-05-30 03:43:36,Fashion, Mobile ,EasyPay_Pay_Later,102,74373,7,289,20333,87,2,Low
17351,64682F05,2021-03-10 08:56:19,Fashion, Mobile ,EasyPay_Pay_Later,93,52478,7,1422,20843,92,2,Potential_Leavers
17352,8F0FA378,2021-06-10 00:19:49,Travel, Web ,Netbanking,2081,16524,13,2623,13732,64,1,Medium
17353,A317395F,2021-03-20 11:55:49,Website-services, Web ,Wallet,832,44778,12,5761,10873,65,0,Medium
17354,F4DEBD91,2021-05-09 14:48:55,Travel, Mobile ,EasyPay_Cobrand_Card,2313,84575,20,7742,2968,14,6,High
17355,1ED8E5C9,2021-03-07 11:23:11,Fashion, Mobile ,EasyPay_Pay_Later,50,82647,6,1576,12631,76,1,Medium
17356,472BC7D2,2021-04-01 23:25:48,Travel, Web ,EasyPay_Credit_Card,2319,37330,41,38827,2914,18,6,High
17357,D4674CD1,2021-03-15 14:45:43,Travel, Web ,EasyPay_Credit_Card,4157,28786,45,25915,2173,13,4,High
17358,F1204EC5,2021-06-03 16:59:16,Travel, POS ,EasyPay_Cobrand_Card,3169,14057,34,17729,2178,23,6,Medium
17359,F7E4EEE4,2021-05-19 16:02:19,Travel, Web ,Netbanking,1887,38885,15,4457,9706,60,2,Medium
17360,7FB0D8A1,2021-05-03 19:53:07,Travel, Web ,EasyPay_Credit_Card,3283,53415,37,10935,1098,20,4,High
17361,D272FC25,2021-05-23 20:24:33,Website-services, Web ,Wallet,671,56349,17,7775,11495,58,0,High
17362,B1514B0C,2021-03-10 01:08:57,Website-services, Mobile ,Debit_Card,982,78800,18,1422,19088,83,2,Potential_Leavers
17363,AD2F3667,2021-05-11 15:45:30,Website-services, Mobile ,Netbanking,452,65586,1,5355,15256,51,3,Potential_Leavers
17364,F3F71690,2021-05-07 10:40:07,Pantry, Web ,Netbanking,309,36364,12,4774,9641,61,3,Low
17365,66A20AA7,2021-05-16 01:52:02,Travel, POS ,EasyPay_Cobrand_Card,2344,79323,33,10335,2063,18,5,Medium
17366,7E9518D7,2021-04-04 23:08:19,Travel, Web ,EasyPay_Cobrand_Card,2876,56516,35,15347,1802,11,8,High
17367,1FBE02D5,2021-04-13 14:59:15,Fashion, Web ,Netbanking,214,30708,1,1974,18594,41,3,Low
17368,E851C7C9,2021-04-20 17:08:29,Website-services, Web ,Wallet,373,39716,12,5431,10022,56,1,Medium
17369,E926DAB0,2021-03-15 15:03:20,Website-services, Web ,Wallet,437,20985,10,1920,9933,62,0,Medium
17370,EE3FA059,2021-05-17 02:26:35,Others, Mobile ,EasyPay_Credit_Card,2638,30708,56,18744,3414,22,5,Medium
17371,D23076A3,2021-04-15 16:25:32,Website-services, Web ,Wallet,272,63237,13,1777,11722,54,1,Medium
17372,2E33A1BC,2021-03-03 04:37:58,Fashion, Mobile ,EasyPay_Pay_Later,84,14553,13,1615,19052,81,2,Medium
17373,A7045A7E,2021-04-05 16:16:53,Travel, Mobile ,EasyPay_Pay_Later,758,78326,15,1356,17947,77,2,Potential_Leavers
17374,9193350A,2021-04-10 17:47:16,Travel, Web ,EasyPay_Credit_Card,4159,29917,40,19358,4330,12,6,Medium
17375,33CA5B0F,2021-04-23 19:30:50,Fashion, Mobile ,EasyPay_Pay_Later,136,63237,4,1665,18476,84,1,Potential_Leavers
17376,EF741C1D,2021-05-30 06:57:40,Website-services, Web ,Wallet,938,47889,11,2556,10548,60,0,Medium
17377,ACBC6BD4,2021-03-17 14:20:22,Others, Web ,Debit_Card,3721,63396,7,1553,13358,83,2,Potential_Leavers
17378,C8A0AEA0,2021-04-07 01:08:36,Fashion, Web ,EasyPay_Pay_Later,177,57633,14,1537,15477,93,1,Low
17379,8779E62F,2021-03-05 10:03:07,Fashion, Mobile ,EasyPay_Pay_Later,155,51555,18,1563,24982,87,2,Medium
17380,BE5B41D0,2021-04-25 18:42:41,Travel, Mobile ,EasyPay_Credit_Card,4235,48694,32,24261,1997,16,5,High
17381,53A2FA5F,2021-04-28 04:42:44,Travel, Web ,EasyPay_Credit_Card,3175,40990,35,6499,1725,11,5,Medium
17382,2F8E0E1E,2021-05-01 06:58:10,Travel, Web ,Debit_Card,3589,19651,2,1923,21728,68,1,Low
17383,5DDB1330,2021-05-03 04:59:38,Website-services, Mobile ,EasyPay_Pay_Later,146,61009,5,1447,19936,88,1,Medium
17384,09575387,2021-05-13 13:07:25,Travel, Mobile ,EasyPay_Credit_Card,1700,54296,32,12099,1758,22,3,Medium
17385,99543D62,2021-05-20 13:13:37,Pantry, Mobile ,EasyPay_Pay_Later,62,57086,20,381,12948,94,2,Medium
17386,114A6E1C,2021-05-21 01:07:33,Electronics, Web ,EasyPay_Pay_Later,888,39651,18,792,27986,98,2,Low
17387,80FB5D30,2021-05-30 19:55:41,Website-services, Web ,Netbanking,566,47183,10,1847,15903,60,2,Medium
17388,16248515,2021-03-23 21:44:16,Website-services, Mobile ,Netbanking,351,75819,5,5282,12809,44,2,Potential_Leavers
17389,72A57E7C,2021-04-18 09:00:06,Travel, Mobile ,EasyPay_Credit_Card,2000,54296,56,40608,1832,22,5,Medium
17390,CFD6EAEA,2021-04-07 05:01:24,Fashion, Mobile ,EasyPay_Pay_Later,65,75970,7,1148,26784,93,2,Medium
17391,A2DA4707,2021-03-03 05:38:12,Travel, Web ,EasyPay_Credit_Card,4502,41253,52,23749,1217,22,3,Medium
17392,50025981,2021-05-01 15:27:18,Travel, POS ,EasyPay_Cobrand_Card,3564,76200,31,27216,2989,7,8,Potential_Leavers
17393,CD2C1D67,2021-03-16 09:19:46,Travel, Web ,EasyPay_Credit_Card,3296,28930,41,43408,3139,17,6,Medium
17394,C990F93A,2021-03-16 15:11:16,Others, Mobile ,Debit_Card,1309,70388,20,1872,21924,54,1,Potential_Leavers
17395,20A6740D,2021-05-24 21:00:35,Website-services, Web ,Wallet,624,71216,14,845,9565,63,1,Low
17396,B690F684,2021-06-04 09:35:24,Travel, POS ,EasyPay_Cobrand_Card,1030,75002,33,5162,3037,21,8,Low
17397,6108A64E,2021-03-28 12:43:46,Website-services, Mobile ,EasyPay_Pay_Later,301,16524,11,1663,15705,97,1,Potential_Leavers
17398,4F32EA41,2021-06-04 10:59:16,Fashion, Mobile ,EasyPay_Pay_Later,157,36357,17,306,13189,86,1,Potential_Leavers
17399,0A40F78E,2021-06-04 07:26:32,Pantry, Web ,Wallet,325,33599,15,1243,9182,62,0,Potential_Leavers
17400,A21FE68F,2021-04-27 11:59:27,Website-services, Web ,Netbanking,340,16099,1,5879,15320,58,2,Low
17401,CB40E0DB,2021-03-25 16:36:58,Travel, Web ,Debit_Card,3996,78388,20,1154,20239,75,3,Potential_Leavers
17402,FC2CFAE0,2021-03-11 19:08:30,Fashion, Web ,Netbanking,208,89217,12,5394,19403,41,3,Medium
17403,1A85704D,2021-03-25 17:24:30,Fashion, Mobile ,EasyPay_Pay_Later,108,78503,16,468,20159,100,1,Low
17404,1AF4DA5F,2021-03-07 10:09:53,Electronics, Web ,Netbanking,1077,35722,8,5979,8493,55,3,Potential_Leavers
17405,15721970,2021-04-16 03:56:56,Fashion, Mobile ,EasyPay_Pay_Later,91,78960,18,1428,21625,99,2,Potential_Leavers
17406,B6D43B5C,2021-03-18 22:21:42,Fashion, Mobile ,EasyPay_Pay_Later,154,56016,12,644,26244,78,2,Potential_Leavers
17407,3BB6F314,2021-05-14 01:15:37,Travel, Web ,EasyPay_Cobrand_Card,3262,64535,39,12326,3213,18,7,Medium
17408,EE68274E,2021-05-22 12:54:41,Travel, POS ,EasyPay_Cobrand_Card,1795,70388,18,28150,1857,6,4,Medium
17409,ACD7EEA9,2021-05-15 07:06:54,Fashion, Mobile ,EasyPay_Pay_Later,250,55518,19,655,18804,94,2,Low
17410,0DDE9D65,2021-03-31 17:15:41,Pantry, Web ,Wallet,232,74834,12,4140,9923,66,0,Medium
17411,48C2312F,2021-04-27 23:13:14,Travel, Web ,EasyPay_Pay_Later,942,69260,20,1702,16654,89,2,Potential_Leavers
17412,C0F5ABB6,2021-05-10 21:27:44,Electronics, Mobile ,EasyPay_Pay_Later,159,63686,19,1591,15498,75,2,Medium
17413,4E62D932,2021-03-06 18:11:29,Fashion, Mobile ,EasyPay_Pay_Later,219,29434,11,1038,13157,85,2,Medium
17414,E558E78F,2021-03-08 09:15:18,Travel, Mobile ,EasyPay_Credit_Card,3702,40990,42,41667,4031,18,5,High
17415,3107D461,2021-05-07 21:48:37,Travel, Mobile ,EasyPay_Credit_Card,4965,74834,45,27417,2765,17,4,Medium
17416,1E54807F,2021-03-15 22:10:50,Website-services, Web ,Wallet,328,86388,18,4067,9812,58,1,Medium
17417,C9117394,2021-06-10 04:48:20,Travel, Web ,EasyPay_Cobrand_Card,2497,45038,33,14938,2845,10,4,High
17418,3C5C9DA0,2021-06-02 00:30:38,Electronics, Web ,Wallet,263,69074,9,1637,9013,51,0,Low
17419,FAFC9BA3,2021-04-25 17:12:59,Travel, Mobile ,EasyPay_Credit_Card,4652,84609,39,20665,2508,18,4,High
17420,B66C0B0A,2021-04-15 06:29:28,Others, POS ,EasyPay_Cobrand_Card,3162,11339,26,23975,3214,23,5,Medium
17421,8F4DEDED,2021-03-23 10:54:31,Travel, POS ,EasyPay_Cobrand_Card,3964,75407,34,17416,1967,17,5,Medium
17422,C1586722,2021-05-13 00:47:43,Pantry, Web ,Netbanking,304,21827,2,2991,17061,45,1,High
17423,6C931ABD,2021-05-14 02:00:16,Electronics, Web ,EasyPay_Pay_Later,722,29155,17,1559,24552,75,2,Potential_Leavers
17424,0567D862,2021-05-01 14:56:52,Travel, Web ,Debit_Card,1452,61366,17,1442,21218,64,1,Medium
17425,EB5AF25B,2021-03-28 14:47:28,Others, Mobile ,EasyPay_Credit_Card,4196,68854,44,18590,2682,21,4,Medium
17426,44AD27C1,2021-03-29 03:24:09,Fashion, Mobile ,EasyPay_Pay_Later,166,24803,5,1110,29830,85,1,Medium
17427,50519BB5,2021-03-11 05:47:38,Fashion, Web ,EasyPay_Pay_Later,244,42434,6,659,12201,80,2,Potential_Leavers
17428,F1B1C14C,2021-04-21 19:51:25,Travel, POS ,EasyPay_Cobrand_Card,1617,55950,36,14358,2030,9,7,Medium
17429,3404E724,2021-04-22 10:44:18,Website-services, Web ,Netbanking,573,42517,12,4107,16568,47,2,Medium
17430,BE7F72C8,2021-04-30 09:31:12,Travel, Web ,EasyPay_Credit_Card,1507,59608,46,5157,4376,18,5,High
17431,F6124056,2021-03-31 11:12:11,Travel, Web ,EasyPay_Credit_Card,3607,15554,39,14218,2659,22,4,High
17432,A7A44B7C,2021-05-04 13:05:30,Travel, Mobile ,EasyPay_Credit_Card,2547,36356,41,43874,3770,21,3,Medium
17433,D578A05D,2021-05-20 13:08:35,Travel, POS ,EasyPay_Cobrand_Card,3029,40990,27,32536,3300,6,7,High
17434,53C0C3E6,2021-04-07 17:08:34,Travel, Mobile ,EasyPay_Credit_Card,4692,15309,48,23685,1513,12,6,Medium
17435,356528A2,2021-05-27 00:01:37,Website-services, Mobile ,EasyPay_Pay_Later,459,51068,9,1496,29055,77,1,Potential_Leavers
17436,96596769,2021-03-09 19:45:35,Travel, Web ,Debit_Card,3374,39716,14,1990,13733,56,1,Potential_Leavers
17437,12CEDCC9,2021-05-25 20:59:49,Fashion, Web ,EasyPay_Pay_Later,110,23052,16,737,16498,97,2,Medium
17438,C6C32836,2021-04-24 11:58:24,Website-services, Web ,Debit_Card,727,74020,7,1270,22467,58,1,Medium
17439,DC33D441,2021-04-14 05:19:00,Pantry, Web ,Netbanking,381,12673,5,5533,11423,44,3,Medium
17440,0D8B806A,2021-04-16 22:56:11,Travel, Mobile ,Debit_Card,2314,55828,11,1407,22216,64,2,Medium
17441,26EE23EE,2021-04-18 09:42:01,Travel, Web ,EasyPay_Credit_Card,4265,31362,32,29949,2544,18,4,Medium
17442,40FF42B3,2021-03-16 07:47:25,Fashion, Mobile ,EasyPay_Pay_Later,179,11304,20,1620,25309,100,2,Low
17443,CFDD4AB2,2021-05-20 19:16:47,Others, Web ,Debit_Card,991,73777,20,2138,20820,67,1,Medium
17444,765A0F0F,2021-06-03 09:36:23,Fashion, Mobile ,EasyPay_Pay_Later,58,44778,7,886,26062,79,1,Low
17445,2B478839,2021-04-08 13:08:10,Electronics, Web ,Netbanking,632,10391,3,3150,8777,40,1,Low
17446,83CC9BF2,2021-05-28 02:01:54,Pantry, Mobile ,EasyPay_Pay_Later,199,54553,12,329,17014,91,2,Potential_Leavers
17447,DC5C61BD,2021-05-11 17:57:31,Fashion, Mobile ,EasyPay_Pay_Later,113,50272,18,1269,28859,93,2,Potential_Leavers
17448,42764F5E,2021-04-11 11:18:24,Fashion, Mobile ,EasyPay_Pay_Later,83,11034,14,1640,18933,78,1,Medium
17449,3306ECF2,2021-04-09 21:50:26,Travel, Mobile ,EasyPay_Credit_Card,3841,60285,44,26270,1455,19,6,High
17450,96131A39,2021-04-14 10:24:46,Pantry, Web ,EasyPay_Pay_Later,126,51283,14,755,28520,82,1,Medium
17451,822F7BD7,2021-04-06 09:39:55,Travel, Mobile ,EasyPay_Credit_Card,4490,77376,32,3639,1248,13,5,High
17452,BEA28195,2021-04-16 14:44:59,Fashion, Mobile ,EasyPay_Pay_Later,117,43523,18,1129,15617,81,1,Low
17453,1BB5FBF2,2021-03-18 22:16:27,Fashion, Web ,Netbanking,229,78051,10,2284,18122,54,3,High
17454,BE2A74D7,2021-04-25 09:08:04,Website-services, Mobile ,Netbanking,879,59274,3,4191,17166,63,1,Medium
17455,8C4794A8,2021-05-17 01:11:30,Travel, Mobile ,EasyPay_Credit_Card,1429,89734,43,31734,1448,22,4,Medium
17456,FEA78700,2021-06-07 17:04:35,Travel, Web ,Debit_Card,3037,63222,12,1702,20998,69,1,Low
17457,BF3FDC45,2021-03-11 13:45:02,Travel, Web ,EasyPay_Cobrand_Card,1422,26436,28,10982,2759,5,6,Medium
17458,45807C46,2021-03-12 08:12:39,Electronics, Mobile ,Netbanking,348,82150,12,2417,7625,57,3,High
17459,462DC664,2021-03-05 23:21:01,Fashion, Mobile ,EasyPay_Pay_Later,147,65894,10,1241,19148,87,1,Potential_Leavers
17460,7F2C436C,2021-05-27 07:36:37,Travel, Web ,EasyPay_Credit_Card,4049,17918,45,30132,4164,14,3,High
17461,58E33CA3,2021-06-06 23:47:18,Travel, Web ,Debit_Card,1486,15074,23,1777,15416,85,2,Potential_Leavers
17462,6193B31D,2021-03-16 08:09:41,Fashion, Mobile ,EasyPay_Pay_Later,174,39280,10,692,18393,87,2,Low
17463,D6854BF5,2021-05-05 20:40:57,Electronics, Web ,Wallet,288,44556,15,5086,10665,52,1,High
17464,2CF232B6,2021-03-03 18:04:26,Website-services, Web ,Netbanking,470,82462,14,3910,8500,41,1,Medium
17465,9797E891,2021-06-10 01:36:49,Fashion, Web ,EasyPay_Pay_Later,176,49008,13,1066,27709,79,1,Potential_Leavers
17466,AB55439F,2021-05-16 04:49:38,Electronics, Mobile ,EasyPay_Pay_Later,586,77321,20,1551,28125,99,2,Low
17467,4A90FC58,2021-03-05 00:04:27,Travel, Mobile ,EasyPay_Credit_Card,4835,83048,32,12422,1471,17,4,High
17468,4B8EB601,2021-05-09 14:59:22,Travel, Web ,Debit_Card,3234,56016,9,2091,22157,61,3,Medium
17469,0BD4DEFE,2021-05-11 15:35:16,Travel, Mobile ,Netbanking,1239,71592,11,1561,17983,44,1,High
17470,CA1240A0,2021-03-17 12:36:57,Travel, Web ,Debit_Card,2663,78388,8,1021,21989,50,1,High
17471,F90CB8B3,2021-05-09 16:29:44,Pantry, Mobile ,EasyPay_Pay_Later,183,68719,11,286,20243,93,2,Potential_Leavers
17472,E316E8DC,2021-05-29 05:41:12,Travel, Web ,Debit_Card,2625,44556,12,2376,13569,56,3,High
17473,6EDB8A14,2021-04-27 14:47:48,Pantry, Web ,Wallet,306,25137,16,2005,11131,57,1,Medium
17474,863037F6,2021-04-12 10:47:39,Fashion, Web ,EasyPay_Pay_Later,118,68367,13,1569,23842,86,2,Low
17475,EE3D0CE4,2021-03-22 06:15:30,Pantry, Mobile ,EasyPay_Pay_Later,12,61366,16,1640,14733,93,2,Potential_Leavers
17476,5BD2870F,2021-06-03 19:00:19,Pantry, Mobile ,Netbanking,259,41253,6,4523,15778,48,3,Potential_Leavers
17477,3ED8A984,2021-03-29 01:35:20,Electronics, Mobile ,Netbanking,665,49762,1,2478,15893,52,1,Medium
17478,53E54FF2,2021-05-07 14:58:01,Pantry, Web ,EasyPay_Pay_Later,53,21070,18,1658,24153,81,2,Potential_Leavers
17479,22DC0449,2021-04-22 01:51:44,Travel, Web ,Debit_Card,3180,53415,18,2228,10388,61,3,Medium
17480,8693EAA5,2021-03-14 19:14:41,Travel, Web ,EasyPay_Cobrand_Card,2116,44138,21,21204,2978,23,7,Medium
17481,2A1808D7,2021-04-10 14:05:09,Travel, Web ,Wallet,925,83340,14,7638,11597,50,1,Medium
17482,38E06D8D,2021-05-12 14:47:14,Pantry, Mobile ,EasyPay_Pay_Later,141,24867,6,615,27136,76,2,Low
17483,6FA3C541,2021-03-12 09:32:51,Travel, Web ,EasyPay_Credit_Card,4268,55950,60,26402,4263,12,3,High
17484,FE431BE1,2021-05-16 02:08:08,Travel, Web ,EasyPay_Credit_Card,3993,27945,58,20302,2943,21,3,High
17485,7CF00BD0,2021-04-17 16:16:54,Website-services, Web ,Debit_Card,630,32930,19,1498,16718,59,2,Potential_Leavers
17486,4016F867,2021-04-11 05:17:11,Fashion, Mobile ,EasyPay_Pay_Later,208,46237,5,644,20022,92,1,Low
17487,AD2B141B,2021-03-12 01:29:20,Fashion, Mobile ,EasyPay_Pay_Later,126,84405,5,1279,21798,91,1,Low
17488,E3CFF937,2021-03-05 02:03:22,Travel, Web ,Debit_Card,3852,68112,17,1780,23025,53,2,Medium
17489,3971B182,2021-04-18 07:03:42,Website-services, Mobile ,EasyPay_Pay_Later,117,58021,12,817,15213,96,2,Medium
17490,99821BF5,2021-05-18 07:51:52,Travel, Mobile ,EasyPay_Credit_Card,2110,65586,43,8085,1787,17,5,Medium
17491,9B3B8772,2021-03-31 03:28:19,Website-services, Mobile ,EasyPay_Pay_Later,517,64558,13,1503,23422,93,1,Low
17492,348248CA,2021-03-08 03:31:55,Fashion, Web ,EasyPay_Pay_Later,63,80941,12,1653,15822,76,1,Medium
17493,7E4626FD,2021-04-26 20:20:20,Travel, Mobile ,EasyPay_Cobrand_Card,1969,78800,19,27669,2090,20,7,Medium
17494,695C856B,2021-05-12 18:24:53,Website-services, Web ,Netbanking,948,53038,13,2976,9339,45,1,Medium
17495,ADFA380E,2021-03-05 17:30:18,Fashion, Mobile ,EasyPay_Pay_Later,169,42517,10,1573,20616,91,2,Potential_Leavers
17496,8882775F,2021-04-22 14:59:40,Fashion, Web ,Netbanking,222,29473,14,1818,16049,52,3,Medium
17497,54DF5B07,2021-06-08 07:36:29,Fashion, Web ,EasyPay_Pay_Later,145,69381,19,816,21518,96,2,Potential_Leavers
17498,9088CF82,2021-05-02 00:29:20,Website-services, Web ,Wallet,326,53415,7,5299,10134,62,1,High
17499,66DEAF9C,2021-03-11 10:43:40,Website-services, Mobile ,EasyPay_Pay_Later,124,12304,17,1132,28134,78,2,Low
17500,1B3C167C,2021-04-26 03:09:41,Fashion, Web ,Wallet,235,82150,9,5827,9871,67,1,Potential_Leavers
17501,03571D03,2021-05-24 20:25:40,Fashion, Mobile ,EasyPay_Pay_Later,169,38474,8,977,26613,97,1,Medium
